CharacteristicName,n_sites,n_records
"Alkalinity, total",5536,11940
Calcium,5578,11723
Chloride,6491,16257
Conductivity,2502,13758
Specific conductance,12366,90292
"Specific Conductance, Calculated/Measured Ratio",115,338
Specific conductivity***retired***use Specific conductance,61,242
